,nombre,categoria,seccion,descripcion,dimensiones,imagen
0,ALF1,Alfombra,Arabe  ,Alfombra persa marrón (tiene unas manchas que no se quitan).,460x340x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF1/ALF1-720x540.png
1,ADO1,Adornos,,Vitrina con abanico,100x10x60 (cm),https://atrezzovazquez.es/admin/img_prod/ADO1/ADO1-720x540.png
2,AFC1,Alfombra de cama,Dormitorio  ,Alfombrín de cama círculos azules,150x72x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC1/AFC1-720x540.png
3,AP1,Aparador,Alemán  Comedor  ,Aparador alemán 2 cuerpos,207x64x300 (cm),https://atrezzovazquez.es/admin/img_prod/AP1/AP1-720x540.png
4,AST1,Atrezzo astronomia,Astronomía  ,Pie de madera para astrolabio,78x78x130 (cm),https://atrezzovazquez.es/admin/img_prod/AST1/AST1-pie-720x540.png
5,TOR1,Tortura,Carcel  ,Silla eléctrica figurada,65x60x120 (cm),https://atrezzovazquez.es/admin/img_prod/TOR1/TOR1-1-720x540.png
6,ARC1,Arcon,Dormitorio  ,Arcón talla figuras vascas con tablero,136x54x80 (cm),https://atrezzovazquez.es/admin/img_prod/ARC1/ARC1-1-720x540.png
7,AR1,Armario,Dormitorio  ,Armario raíz y caoba 2 puertas espejo y cajones,150x57x225 (cm),https://atrezzovazquez.es/admin/img_prod/AR1/AR1-720x540.png
8,ARM1,Armero,Militar  ,Armero para fusiles con cajones,70x22x130 (cm),https://atrezzovazquez.es/admin/img_prod/ARM1/ARM1-1-720x540.png
9,ATD1,Ataud,,Ataúd de niño pintado crema con cruz,43x100x30 (cm),https://atrezzovazquez.es/admin/img_prod/ATD1/ATD1-1-720x540.png
10,ATR1,Atril,Religioso  ,Atril facistol columna torneada,70x70x170 (cm),https://atrezzovazquez.es/admin/img_prod/ATR1/ATR1-1-720x540.png
11,BL1,Balancin,Columpio  Jardín  ,Balancín de jardín 2 cojines,140x135x175 (cm),https://atrezzovazquez.es/admin/img_prod/BL1/BL1-1-720x540.png
12,BAC1,Banco,Portugues  ,Banco portugués respaldo alto torneado,154x53x185 (cm),https://atrezzovazquez.es/admin/img_prod/BAC1/BAC1-1-720x540.png
13,BAN1,Banqueta,Bambú  Jardín  ,Banqueta bambú cuadrada,36x36x54 (cm),https://atrezzovazquez.es/admin/img_prod/BAN1/BAN1-1-720x540.png
14,M1,Mesa,Jardín  ,Mesa jardín de rejilla tapa cristal,70x70x47 (cm),https://atrezzovazquez.es/admin/img_prod/M1/M1-1-720x540.png
15,BA1,Baño,Bañera  ,Bañera hierro fundido con patas garras doradas,181x80x70 (cm),https://atrezzovazquez.es/admin/img_prod/BA1/BA1-1-720x540.png
16,BAR1,Bargueño,Gótico  ,Bargueño gótico con tapa hierros con pie,95x35x150 (cm),https://atrezzovazquez.es/admin/img_prod/BAR1/BAR1-1-720x540.png
17,BRL1,Barril,Bar y cafetería  Rústico  ,Barril de madera grande,60x60x93 (cm),https://atrezzovazquez.es/admin/img_prod/BRL1/BRL1-1-720x540.png
18,BAS1,Bascula,Farmacia  Hospital  ,Báscula de farmacia forrada imitación madera,47x45x132 (cm),https://atrezzovazquez.es/admin/img_prod/BAS1/BAS1-1-720x540.png
19,BAU1,Baul,Americano  Viaje  ,Baúl armario americano verde,58x58x103 (cm),https://atrezzovazquez.es/admin/img_prod/BAU1/BAU1-1-720x540.png
20,BEB1,Bebé,Columpio  ,Columpio de bebé para puerta (saltador),1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BEB1/BEB1-720x540.png
21,PER1,Perchero,Español  Recibidor  ,Perchero de pared estilo español tallado cabezas,110x10x190 (cm),https://atrezzovazquez.es/admin/img_prod/PER1/PER1-720x540.png
22,ESC1,Escaleras,Tienda  ,Escalera de tijera pintada verde,50x90x140 (cm),https://atrezzovazquez.es/admin/img_prod/ESC1/ESC1-720x540.png
23,BIO1,Biombo,Dormitorio  ,Biombo 4 hojas tapizado rojo y oro con galón,240x5x170 (cm),https://atrezzovazquez.es/admin/img_prod/BIO1/BIO1-1-720x540.png
24,BIS1,Bis a bis,Salón  ,Bis a bis bambú nogal tapizado terciopelo rojo y azul,1x120x105 (cm),https://atrezzovazquez.es/admin/img_prod/BIS1/BIS1-1-720x540.png
25,BRA1,Brasero,Calefaccion  Medieval  ,Braseros pletina hierro de palo,30x30x40 (cm),https://atrezzovazquez.es/admin/img_prod/BRA1/BRA1-1-720x540.png
26,BUT1,Butaca de cine,Cine  Teatro  ,Fila de 5 asientos de butacas de cine pana roja,254x60x80 (cm),https://atrezzovazquez.es/admin/img_prod/BUT1/BUT1-1-720x540.png
27,CAB1,Caballete,Frances  Pintor  ,Caballete de pintor Luis XV dorado,75x75x215 (cm),https://atrezzovazquez.es/admin/img_prod/CAB1/CAB1-1-720x540.png
